GeneID	GSM2228986	GSM2228987	GSM2228988	GSM2228989	GSM2228990	GSM2228991	GSM2228992	GSM2228994	GSM2228995	GSM2228996	GSM2228997	GSM2228998	GSM2228999	GSM2229000
28582	0	0	0	0	0	0	0	0	0	0	0.02741	0	0	0
28579	0	0	0	0	0.1591	0	0	0	0	0	0.1935	0	0	0
28584	0	0	0	0	0	0	0	0	0.1734	0.03088	0	0	0	0
28581	0.08562	1.461	0	0	0.5678	0.1938	0	0	0	0.09184	0	0	0.05646	0
28578	0	0	0	0	0.1273	0	0	0	0.08672	0	0	0	0	0
28602	0	0	0.1148	0	0.2864	0.2444	0	0.06727	0	0	0.02764	0.192	0	0.1611
28594	0	0	0	0	0.03154	0	0	0	0	0	0	0	0	0
107986855	0.0848	0.01304	0.009393	0.0798	0.1041	0	0.07786	0.01101	0.1135	0.02021	0.03619	0.1466	0	0.01758
28611	0.5197	0.1598	0	0.8558	0.06382	0	0.159	0.06746	0.2609	0.03097	0.05545	0.2568	0	0.05387
105379749	0.04478	0.02066	0.01488	0.3792	0.04124	0.01267	0.03083	0.04359	0.07868	0.02001	0.09316	0.09126	0.02584	0.01392
28601	0	0	0.05739	0	0	0	0	0	0	0	0	0	0	0
28593	0	0	0.02861	0	0	0	0	0	0	0	0.02756	0	0	0
113839523	0	0	0	0	0	0	0	0	0	0	0.1235	0	0	0
28610	0	0.07992	0.05756	0	0	0.09805	0	0	0	0.06194	0	0	0	0.1616
28600	0.08636	0	0	0	0	0	0	0	0	0.03088	0.02764	0	0	0
28592	0	0.0395	0.1138	0	0.1262	0.04846	0	0.06668	0	0	0.1096	0	0	0
28609	0.6063	0	0.02878	0	0.09573	0	0	0.03373	0	0.03097	0.02773	0	0	0
28599	0.08712	0	0	0	0	0	0	0	0	0	0.02789	0	0	0
28591	0	0.158	0.02845	0	0	0.09692	0	0	0	0	0.02741	0	0	0
28608	0	0	0	0	0.09573	0	0	0	0.1739	0	0	0	0	0
28589	0	0.1185	0.7112	0	0.1262	1.018	0	0.3668	0.08597	0	0.08222	0	0.02823	0.1065
28574	0.4766	0	0.0264	0.7849	0.1171	0.04496	0	0.03093	0	0	0.1271	0	0	0
28583	0.1727	0.1992	0.05739	1.341	0.06363	0.1467	0	0	0	0.03088	0.08293	0	0.02848	0
28580	0	0	0.0569	0	0.06308	0.09692	0	0	0	0.03061	0	0	0	0
28577	0.1712	0	0	0	0.1262	0	0	0.03334	0	0.03061	0.05481	0	0	0
28576	0.5993	0	0.08535	0.1208	0.06308	0.04846	0	0	0	0	0.05481	0	0	0
28575	0.7706	0	0.08535	0	0.2523	0.04846	0.2358	0.1334	0.3439	0.3367	0.3015	0.3807	0.2541	0.426
28573	0.1712	0.0395	0.1138	0	0	0	0.3144	0	0.1719	0.06122	0	0	0	0
28572	0.1727	0	0.0287	0	0.03182	0.1467	0.07929	0	0	0	0.02764	0	0	0
28571	0	0	0	0	0.03154	0	0	0	0	0	0	0	0	0
