GeneID	GSM3591825	GSM3591826	GSM3591827	GSM3591828	GSM3591829	GSM3591830	GSM3591831	GSM3591832	GSM3591833	GSM3591834
64780	10.94	13.33	65.76	33.8	29.27	12.16	8.073	65.24	42.82	34.15
9841	9.405	18.44	23.11	15.31	14.16	10.7	15.95	22.49	17.01	15.51
105377935	0.4309	0.9062	2.722	1.578	1.769	0.1781	1.21	1.599	1.192	1.147
221264	0.2971	0.7131	3.258	1.863	1.965	0.4979	0.5162	3.915	2.59	2.082
9896	8.937	6.402	24.05	7.267	10.61	8.073	8.171	30.43	7.907	9.392
107986630	0.1474	0.2214	2.312	1.851	0.1815	0.4112	0.1619	4.924	1.067	1.053
2830	0	0	0	0	0	0	0.03055	0	0	0
107986631	0.02749	0.04955	0.3772	0.2589	0.2031	0.1278	0.1812	0.1413	0.4563	1.144
8936	0.8913	0.9549	4.22	0.2508	0.3106	1.485	1.663	5.963	0.1825	0.6573
51362	23.41	26.93	45.14	26.29	25.66	23.51	29.26	53.69	29.15	31.4
728464	0.03345	0.2261	4.065	2.441	2.471	0.0311	0.1837	4.813	2.616	3.078
105377937	0.08267	0	6.969	2.92	2.748	0.07687	0.2725	6.16	4.117	6.463
102724586	0	0	0	0	0	0	0.02035	0	0.03547	0.0934
8528	0	0.04641	0.1346	0	0.0634	0.01596	0.01886	0.0441	0	0
105377936	0	0	0.1582	0	0	0	0	0	0	0
85413	0	0	0	0	0	0	0	0.1458	0	0.07157
105377938	0	0	0	0	0	0	0	0	0.1307	0.1291
105377940	0	0	0	0	0	0	0	0	0	0
105377939	0	0	0	0	0	0	0.02736	0	0	0.06281
105377941	0	0	0.07444	0	0	0.03531	0.08344	0	0	0.1915
23097	1.739	2.669	8.131	3.213	5.392	2.532	3.311	10.52	4.175	6.232
262	70.64	126.2	61.89	66	69.64	77.3	97.25	75.2	70.09	65.73
109616968	0.423	0.7626	0.8293	0	0	0.7867	0	1.087	0	0.5334
112495	69.68	113.5	23.98	24.65	38.84	63.96	85.01	24.54	23.56	26.34
84154	18.76	31.58	4.793	5.957	5.661	19.02	25.03	3.563	5.28	4.309
442245	0	0	0	0.03741	0	0.08864	0.05237	0.1225	0.03043	0.0601
117247	1.419	3.319	0.1823	5.26	0.4779	2.379	3.344	0.322	10.39	5.51
109623478	2.554	5.065	0	3.207	0	6.175	6.173	0	14.35	8.373
107986521	0.3659	0.3298	0	3.273	0.8109	0.5443	0.6431	0.3761	5.139	2.214
91749	3.424	6.082	9.699	7.957	7.022	4.845	5.48	12.04	7.523	8.491
5980	7.759	10.96	15.04	13.26	13.17	7.082	9.066	18.79	14.16	15.45
643749	1.386	2.299	4.373	3.221	1.913	1.508	2.125	4.519	3.422	3.014
107986522	0.8222	2.011	1.842	1.567	0	0.4369	1.549	1.509	1.95	4.147
10758	7.125	4.784	7.522	5.485	2.342	7.175	7.01	5.755	6.917	4.912
105377944	0.2911	1.087	0.1631	2.448	3.38	0.1547	0.2741	0.7481	3.983	4.51
2534	47.47	107.3	16.69	74.03	125.1	51.26	94.76	12.76	83.62	102.1
105377945	12.69	27.37	5.902	27.64	48.68	13.84	25.96	4.184	33.38	40.49
102724646	4.004	11.38	2.466	11.65	14.44	4.566	10.09	2.607	13.77	11
105377946	0	0.03444	0.07491	0.1799	0	0	0	0	0	0.04818
105377947	0.1379	0	0	1.479	0.6792	0.04274	0	0	0.2641	0.1739
8838	2.164	2.548	0.1858	1.339	1.109	1.469	2.169	0.2029	1.069	0.7967
51175	43.95	40.67	13.29	22.87	14.01	36.52	49.71	13.67	26.42	19.19
619208	1.634	2.544	0.9571	1.932	1.019	1.599	1.423	1.473	2.06	1.74
3910	0.0572	0.02577	0.04205	0.02244	0	0	0.01571	0	0.08672	0.01803
