GeneID	GSM4552489	GSM4552490	GSM4552491	GSM4552492
6528	0	0	0.02866	0
115098	90.65	86.98	56.78	66.87
3780	1.116	0.7825	2.545	2.589
27106	33.48	29.75	72.51	63.01
3594	6.472	6.801	6.997	6.465
23031	12.68	12.22	22.77	19.87
5296	29.69	30.5	37.36	42.36
10437	11.57	10.21	1050	1219
84769	16.21	16	22.71	22.95
5864	7.769	8.037	4.455	3.346
102725254	2.667	0.7508	0.6771	0.4879
5143	0.2713	0.2037	0.592	0.3309
729966	0	0.1013	0	0
80726	0.3661	0.222	0.9295	0.6182
3727	145.6	146	224.2	249.2
100422833	2.181	2.455	2.215	0
25804	180.7	183.1	92.39	104.1
105372300	1.02	0.7898	2.007	1.89
54858	20.97	20.86	60.54	59.36
9518	0.5751	0.5261	255.2	307.1
100422943	0.8463	0	12.89	13.93
126364	2.801	3.725	33.45	32.04
170463	77.4	75.92	143.2	132.8
51477	5.655	6.128	11.45	11.13
8178	21.86	22.65	34.44	34.14
23770	302.7	312.3	267.5	295.8
79036	57.34	57.48	59.51	60.54
7311	282.8	305.1	170.6	204.3
55049	69.92	68.65	70.29	65.47
9244	0.3194	0.1998	1.153	1.013
25789	0.0231	0.02602	0.2112	0.02536
55295	8.314	9.348	7.862	8.425
23373	5.635	4.954	11.86	10.21
1311	0	0	0	0
107985321	0	0	0	0
5976	73.63	74.74	75.71	69.93
10715	9.086	8.828	1.166	1.08
2657	8.337	8.47	0.8516	0.9729
11316	341.3	362.7	225.1	262.9
54555	67.86	70.87	50.57	52.6
9454	148.1	145.6	79.23	79.11
102724360	8.346	7.302	6.769	5.799
107985268	1.375	1.239	3.258	2.264
10147	82.75	79.47	90.74	71.01
93436	42.65	45.04	32.39	32.64
284439	5.819	5.036	1.775	1.161
54929	29.44	28.01	26.67	24.16
4207	7.059	6.984	7.274	6.958
100271849	3.772	4.199	5.24	4.093
729991	16.5	16.27	15.94	16.14
8625	61.61	62.71	53.94	56.98
126382	41	41.8	23.64	22.6
1463	0.02895	0.01087	0	0.04237
404037	0.1281	0.08011	0.2312	0.1406
53345	0	0	0	0
57794	21.96	22.34	25.4	23.46
23383	34.06	35.25	45.06	41.78
54815	64.34	66.02	63.96	68.61
693225	0	0.7247	1.307	0
83983	5.621	4.499	3.963	3.467
51079	375.2	412.9	291.9	340.4
374887	22.13	19.71	24.98	16.96
148113	0.4708	0.7456	0.4931	0.5168
80714	1.967	1.952	5.384	4.355
9170	62.76	57.44	117.5	83.52
51291	106.4	100.4	182.7	171.2
57130	103.2	102.3	116	102.5
94039	16.77	16.92	9.29	7.549
7561	9.946	12.02	5.252	4.898
101060187	0.04476	0.01008	0.02727	0.05895
284440	0.5991	0.6453	0.6878	0.486
112267872	0.5323	0.4567	0.4248	0.1947
7608	0.6425	0.7997	0.4121	0.2598
