GeneID	GSM7113703	GSM7113704	GSM7113705	GSM7113706	GSM7113707	GSM7113709	GSM7113710	GSM7113711	GSM7113713	GSM7113714	GSM7113716	GSM7113717	GSM7113718
57060	1.33	1.158	1.213	1.519	1.695	0.7227	0.8677	0.8957	0.8219	1.517	2.249	0.2757	6.678
84836	30.89	34.94	27.29	31.86	31.93	16.6	18.28	19.53	31.51	29.45	33.33	37.85	38.74
100526760	10.93	12.08	10.8	12.51	9.779	8.945	9.532	9.492	8.772	10.48	10.1	6.218	17.93
25864	11.27	14.6	11.8	12.48	13.53	2.688	2.736	4.638	13.62	10.72	11.19	6.211	21.72
95	12.2	12.95	11.99	13.4	10.04	11.16	12.02	11.82	9.412	11.75	11.14	7.305	20.1
6159	375.7	431.9	554.4	446.9	488	318	233.4	263.8	383	501.9	372	856	1252
105377088	0	0	0	0	0	0	0	0	0	0	0	0	0
1849	12.65	12.26	9.924	18	14.52	8.396	13.68	10.11	16.3	13.6	14.32	36.38	69.64
100128378	0	0	0.0353	0	0	0	0	0	0	0.0364	0	0.03781	0.1198
25886	1.854	1.301	1.109	1.765	1.323	3.605	3.739	3.675	3.035	1.928	3.638	1.595	18.29
211	140.1	103.9	86.71	152.4	86.11	581.5	873.8	641.7	157.2	112.8	114.5	36.06	102.8
54106	0.0586	0.1051	0.08261	0.1731	0.03965	0.08545	0.4418	0.4152	0.3517	0.426	0.1814	1.416	2.898
11344	128.8	149.4	135.6	141.5	192.5	183.2	185	281.9	115.6	122.2	142.1	125.8	98.84
101929054	0.3034	0.09074	0.2852	0.1708	0	0.295	0.08973	0.2205	0	0.2941	0.1789	0.611	0.6454
132160	153.7	160.1	185.4	132.9	152.2	104.6	69.41	94.06	122.3	162	127.7	143.1	46.1
80335	87.07	82.23	86.95	82.89	70.23	85.88	82.44	77.28	77.57	80.41	73.14	104.1	108
406890	0	0	0	0	0	0	1.197	0	0	0	0	0	2.153
107986086	0.2123	0	0.7983	0.8963	0.5748	0.2064	0.7534	0.2315	0.8496	0.2058	0.1878	0.8551	2.032
132158	1.205	1.304	1.33	1.55	1.579	0.8181	1.408	1.355	1.091	1.094	1.1	5.373	2.166
100874110	0	0.08815	0.09235	0.08295	0	0	0.3486	0.1071	0.09829	0.09524	0	0.8903	0.1567
406925	0	0	0	0	1.705	1.225	0	1.373	0	0	0	1.268	0
25981	0.2621	0.4823	0.3853	0.8965	0.3638	0.2287	0.9002	0.2711	1.298	0.9446	0.3329	10.2	5.747
8314	37.77	38.87	35.65	45.23	52.29	27.5	38.27	40.48	39.35	36.56	43.61	51.53	83.32
51533	2.36	2.897	2.607	3.076	2.129	1.851	2.314	1.76	2.692	3.411	2.526	5.626	9.179
56920	1.121	0.5029	0.3582	1.969	1.244	0	0.01989	0	0.3364	0.2608	0.6346	0.02257	3.434
105377091	0	0	0	0.05498	0	0	0	0	0	0	0	0	0
7134	0	0	0	0	0	0	0	0.3598	0	0	0.146	0.4985	0
11188	8.244	9.182	7.499	13.55	12.88	3.183	6.725	3.939	12.79	11.01	13.94	36.47	34.68
23166	26.09	52	41.67	49.98	96.98	2.098	0.9153	3.996	106	100.7	125.4	139.2	44.31
64943	12.64	14.14	7.884	16.44	15.95	0.7207	1.904	0.9357	17.88	14.26	22.12	12.69	67.41
440957	6.977	7.555	7.463	7.313	6.839	3.742	4.482	3.803	7.762	6.005	7.608	5.329	9.404
55193	25.57	32.54	28.51	33.71	21.97	26.12	44.57	25.76	39.11	33.76	25.3	30.88	37.81
26354	29.7	32.91	34.13	36.91	26.65	18.42	37.24	19.5	34.79	27.96	29.03	49.3	126.7
106633805	0	0	0	0	0	0	0.6842	0	0	0	0	0	3.691
692089	0	0	0	2.519	0	0	0	1.626	0	0	0	9.012	11.9
100113381	0	0	1.146	2.059	1.65	0	2.163	0	1.22	0	0	11.05	23.34
109616991	0	0	0	0	0	0	1.501	0	0	0	0	0	5.399
692109	0	0	0	1.243	0	0	3.919	0	0	0	0	7.413	7.047
55830	20.32	22.52	21.97	20.6	20.89	12.41	14.97	15.29	25.71	22.56	25.75	26.23	30.9
28972	44.29	44.2	46.11	39.06	42.32	40.21	36.34	45.84	41.79	38.72	48	41.73	56.95
6787	5.267	6.203	5.123	5.672	5.166	4.282	5.902	5.357	8.891	6.879	7.063	13.49	14.74
3697	0.03496	0	0	0.05904	0	0.4419	0.4962	0.6479	0.1049	0.06778	0.1855	1.232	0.4462
3699	0	0	0	0.02988	0	0	0	0	0	0.0343	0.0313	0.285	0.05645
3700	0.137	0.1536	0.2253	0.3469	0.04635	0.4328	2.673	0.4853	0.8907	0.1328	0.1817	23.93	7.156
100873993	0.287	0	0	0	0	0.2791	0.2546	0	0.2871	0.2782	0	8.092	2.747
100526772	7.186	7.665	6.004	7.415	6.052	14.44	16.08	17.84	9.186	7.43	7.839	12.06	11.46
389125	0	0	0.2038	0.7321	0.2934	0.6323	1.539	0.709	0.4337	0.2101	0.1917	13.1	2.767
375346	12.1	10.75	9.165	11.5	9.492	19.85	26.33	27.41	14.46	11.78	12.24	24.86	23.91
102465866	0	0	0	0	0	0	1.118	0	0	0	0	0	2.01
51460	4.014	4.872	4.993	5.182	3.499	4.372	4.346	3.333	4.617	4.966	4.061	2.734	6.478
91869	4.662	4.16	4.677	4.779	4.222	4.524	4.516	5.334	4.234	4.647	4.481	4.877	9.201
5580	121.9	128.6	106.9	156	121.8	212.4	322.9	236.4	170.6	136.8	139.9	312.4	219.9
7086	166.8	172.8	221.6	211.4	200.9	214.8	269.1	246.9	188.7	254.5	204.3	798.2	457.8
107986087	0.2595	0.3597	0.4434	0.2788	0.2235	0.4815	0.5231	0.2828	0.4011	0.3201	0.2921	0.9499	1.129
55802	12.17	12.42	12.12	12.31	9.417	18.54	21.68	14.42	15.46	13.6	8.903	12.35	29.97
109617024	0	0	0	0	0	0	0	0	0	0	0	0	0
105377094	0	0	0	0	0	0	0	0	0	0	0	0	0
776	1.11	0.2192	0.1148	1.178	0.441	0.03959	0.04516	0.0222	0.06111	0.009869	0.06304	0.2973	0.1299
55349	1.601	1.229	0.7865	1.73	1.067	0.04716	0.07531	0.01322	0.07279	0.04702	0.1073	0.02442	0.1935
55540	5.247	4.681	2.027	4.282	3.314	0.7084	1.888	1.303	1.954	1.328	1.469	1.233	2.464
93973	7.363	8.765	7.729	9.668	8.144	4.893	8.116	6.091	7.863	6.628	6.969	7.144	9.72
58515	48.1	47.97	49.9	40.73	40.9	59.42	56.04	50.86	39.55	38.84	40.19	35.76	43.26
105377095	0	0	0	0	0	0	0	0	0	0	0	0	0.05975
55799	1.167	1.342	0.675	1.086	0.81	0	0	0	5.029	4.061	4.235	19.73	10.74
107986088	0	0	0	0	0	0	0	0.1663	0.01908	0	0.1349	0.0192	0
790952	0	0	0	0	0	0.03513	0	0	0	0	0	0	0
100874237	0	0	0	0	0	0	0	0	0	0	0	0	0
57408	0	0	0	0	0	0	0	0	0	0	0	0	0.1138
107986089	0.08325	0	0	0	0	0	0	0	0	0.08069	0	0	0
105377096	0	0	0	0	0	0	0	0	0	0	0	0	0
105377097	0	0	0	0	0	0	0	0	0	0	0	0	0
105377098	0	0	0	0	0	0	0	0	0	0	0	0	0
7474	0.09017	0.1146	0.09887	0.09516	0.3356	1.446	6.366	5.234	0.0902	0	0.04652	0.007565	0.01199
26059	0	0	0	0.01406	0	0.06478	0.1034	0.03632	0	0	0.01473	0	0.02658
105377100	0	0	0	0	0	0	0.02995	0	0	0	0	0	0
711	0	0	0	0	0	0	0	0	0	0	0	0	0
100500875	0	0	0	0	0	0	0	0	0	0	0	0	0
105377099	0	0	0	0	0	0	0	0	0	0	0	0	0
285331	1.813	2.297	2.236	2.85	1.717	1.256	3.055	1.334	3.468	2.526	2.265	8.167	7.771
23272	27.36	32.31	31.97	35.16	28.5	25.64	33.22	26.66	38.28	33.74	29.86	43.92	68.52
50650	29.78	24.56	29.77	21.66	28.27	21.62	17.09	24.1	24.84	32.34	40.18	33.92	23.07
100874200	0	0	0	0	0	0	0	0	0	0	0	0	0
353324	4.467	4.138	2.921	3.403	2.563	1.558	0.9046	1.429	9.181	9.508	9.277	0	0.1549
54756	0.07365	0.09911	0.06922	0.1036	0.1994	0.02387	0.04356	0.06691	0.2087	0.1071	0.1411	0.02472	0.07833
105377101	0	0	0	0	0	0	0	0	0	0	0	0	0
8820	0.8471	1.48	0.2095	0.4141	0.6638	2.167	2.175	4.812	2.052	0.994	1.38	0.9876	3.343
26060	41.52	48.24	47.76	46.04	40.68	27.9	30.93	29.03	54.72	46.09	48.76	29.74	54.47
142686	2.42	2.426	2.301	2.596	1.965	1.301	2.273	1.241	3.104	2.539	2.568	2.608	3.905
105377102	10.89	11.12	10.55	10.75	8.16	6.187	8.617	7.303	12.9	11.53	12.15	8.768	11.76
201625	0	0.007277	0	0.006848	0	0.007885	0	0.008842	0.008114	0.007862	0	0.04083	0.2588
201626	10.34	10.03	9.185	10.02	8.719	8.411	10.43	8.427	9.399	7.95	8.301	5.916	10.93
378	218.1	188.3	195.6	175.9	177.7	204.9	199.3	208.8	199.6	187	209.9	165.2	258.1
